num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 32, 32, 32, 32, 0.087837, 0.746112, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 64, 64, 32, 0.119423, 1.097548, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 128, 128, 32, 0.295481, 0.887177, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 156, 156, 32, 0.288029, 1.109221, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 64, 64, 64, 0.722813, 0.725344, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 32, 32, 64, 0.415069, 0.631568, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 128, 128, 64, 1.081321, 0.969718, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 156, 156, 64, 1.123691, 1.137281, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 100, 100, 100, 1.305277, 1.532242, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 32, 32, 100, 0.777868, 0.822762, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 64, 64, 100, 1.027751, 1.245438, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 128, 128, 100, 1.322849, 1.935217, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 156, 156, 100, 1.605769, 1.942994, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 250, 250, 250, 2.203476, 14.182139, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 32, 32, 250, 0.793696, 5.039711, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 64, 64, 250, 1.555503, 5.143031, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 128, 128, 250, 2.057221, 7.777484, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 156, 156, 250, 1.884206, 10.349186, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 400, 400, 400, 2.262814, 56.566731, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 32, 32, 400, 1.653362, 6.193440, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 64, 64, 400, 1.998834, 10.245974, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 128, 128, 400, 2.189908, 18.703983, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 156, 156, 400, 2.177059, 22.930012, 0.000000, 0.000000e+00
1, 1, 1, 32, 600, 600, 600, 600, 2.094584, 206.246200, 0.000000, 0.000000e+00
1, 1, 1, 32, 600, 32, 32, 600, 1.757271, 13.111240, 0.000000, 0.000000e+00
1, 1, 1, 32, 600, 64, 64, 600, 2.007722, 22.951380, 0.000000, 0.000000e+00
1, 1, 1, 32, 600, 128, 128, 600, 2.200343, 41.884378, 0.000000, 0.000000e+00
1, 1, 1, 32, 600, 156, 156, 600, 1.979403, 56.744394, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 800, 800, 800, 1.837578, 557.255345, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 32, 32, 800, 1.343737, 30.482159, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 64, 64, 800, 1.794576, 45.648658, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 128, 128, 800, 2.165576, 75.656546, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 156, 156, 800, 2.110206, 94.625850, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 1000, 1000, 1000, 2.126274, 940.612748, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 32, 32, 1000, 1.989627, 32.166829, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 64, 64, 1000, 2.202663, 58.111479, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 128, 128, 1000, 2.184395, 117.194919, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 156, 156, 1000, 2.156441, 144.682838, 0.000000, 0.000000e+00
1, 1, 1, 32, 2000, 2000, 2000, 2000, 2.193850, 7293.113825, 0.000000, 0.000000e+00
1, 1, 1, 32, 2000, 32, 32, 2000, 1.870154, 136.887140, 0.000000, 0.000000e+00
1, 1, 1, 32, 2000, 64, 64, 2000, 2.056404, 248.978336, 0.000000, 0.000000e+00
1, 1, 1, 32, 2000, 128, 128, 2000, 1.933416, 529.632392, 0.000000, 0.000000e+00
1, 1, 1, 32, 2000, 156, 156, 2000, 2.079552, 600.129260, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 3000, 3000, 3000, 2.079952, 25962.142940, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 32, 32, 3000, 1.872161, 307.665908, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 64, 64, 3000, 1.386998, 830.570714, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 128, 128, 3000, 2.070628, 1112.706157, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 156, 156, 3000, 2.139792, 1312.277027, 0.000000, 0.000000e+00
1, 1, 1, 32, 4000, 4000, 4000, 4000, 2.301360, 55619.287409, 0.000000, 0.000000e+00
1, 1, 1, 32, 4000, 32, 32, 4000, 1.957913, 523.005959, 0.000000, 0.000000e+00
1, 1, 1, 32, 4000, 64, 64, 4000, 2.114203, 968.686733, 0.000000, 0.000000e+00
1, 1, 1, 32, 4000, 128, 128, 4000, 1.970804, 2078.340116, 0.000000, 0.000000e+00
1, 1, 1, 32, 4000, 156, 156, 4000, 2.034931, 2453.154173, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 6000, 6000, 6000, 2.184673, 197741.249510, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 32, 32, 6000, 1.860909, 1238.104307, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 64, 64, 6000, 2.099208, 2195.113105, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 128, 128, 6000, 1.856207, 4964.964248, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 156, 156, 6000, 2.288321, 4908.401338, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 8000, 8000, 8000, 1.042794, 981976.945354, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 32, 32, 8000, 1.738945, 2355.451396, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 64, 64, 8000, 1.954179, 4192.042302, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 128, 128, 8000, 2.006815, 8164.181071, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 156, 156, 8000, 1.703639, 11720.794074, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 10000, 10000, 10000, 1.022123, 1956712.588477, 0.000000, 0.000000e+00
