num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 32, 32, 32, 32, 0.124716, 0.525483, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 64, 64, 32, 0.231064, 0.567254, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 128, 128, 32, 0.345584, 0.758553, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 156, 156, 32, 0.545040, 0.586174, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 64, 64, 64, 0.495463, 1.058178, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 32, 32, 64, 0.317522, 0.825592, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 128, 128, 64, 0.648043, 1.618065, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 156, 156, 64, 0.848566, 1.506013, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 128, 128, 128, 1.643499, 2.552058, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 32, 32, 128, 0.879544, 1.192182, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 64, 64, 128, 1.386318, 1.512750, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 156, 156, 128, 1.665509, 3.069217, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 256, 256, 256, 2.012542, 16.672665, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 32, 32, 256, 1.155247, 3.630655, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 64, 64, 256, 1.742159, 4.815065, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 128, 128, 256, 1.949044, 8.607921, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 156, 156, 256, 2.015739, 10.143791, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 400, 400, 400, 2.146973, 59.618815, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 32, 32, 400, 1.694973, 6.041393, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 64, 64, 400, 1.841507, 11.121327, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 128, 128, 400, 2.111469, 19.398821, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 156, 156, 400, 2.215534, 22.531814, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 512, 512, 512, 1.500876, 178.852475, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 32, 32, 512, 1.474133, 11.381070, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 64, 64, 512, 1.747546, 19.200890, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 128, 128, 512, 1.888582, 35.533998, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 156, 156, 512, 1.909889, 42.823912, 0.000000, 0.000000e+00
