num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 32, 32, 32, 32, 0.003804, 17.229603, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 64, 64, 32, 0.021279, 6.159826, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 128, 128, 32, 0.210435, 1.245723, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 156, 156, 32, 0.252023, 1.267696, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 64, 64, 64, 0.019248, 27.238314, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 32, 32, 64, 0.440694, 0.594844, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 128, 128, 64, 0.832873, 1.258986, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 156, 156, 64, 0.831839, 1.536297, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 128, 128, 128, 0.199740, 20.998786, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 32, 32, 128, 0.878901, 1.193054, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 64, 64, 128, 0.735347, 2.851922, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 156, 156, 128, 1.268200, 4.030757, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 256, 256, 256, 0.749020, 44.797785, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 32, 32, 256, 1.095596, 3.828331, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 64, 64, 256, 1.454785, 5.766218, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 128, 128, 256, 1.385890, 12.105731, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 156, 156, 256, 1.459365, 14.011047, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 400, 400, 400, 1.196353, 106.991825, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 32, 32, 400, 1.374043, 7.452459, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 64, 64, 400, 1.651249, 12.402732, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 128, 128, 400, 1.577393, 25.966902, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 156, 156, 400, 1.583229, 31.530503, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 512, 512, 512, 0.905929, 296.309541, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 32, 32, 512, 1.391006, 12.061214, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 64, 64, 512, 1.451860, 23.111336, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 128, 128, 512, 1.492400, 44.967065, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 156, 156, 512, 1.473376, 55.511243, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 800, 800, 800, 1.364450, 750.485423, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 32, 32, 800, 1.330294, 30.790182, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 64, 64, 800, 1.820922, 44.988205, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 128, 128, 800, 1.621320, 101.053449, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 156, 156, 800, 1.612974, 123.796183, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 1024, 1024, 1024, 0.572640, 3750.145030, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 32, 32, 1024, 1.239906, 54.124152, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 64, 64, 1024, 1.191347, 112.660486, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 128, 128, 1024, 1.251691, 214.458165, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 156, 156, 1024, 1.240057, 263.823071, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 2048, 2048, 2048, 0.435394, 39458.218031, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 32, 32, 2048, 1.239320, 216.598921, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 64, 64, 2048, 1.226713, 437.649951, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 128, 128, 2048, 1.222389, 878.395989, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 156, 156, 2048, 1.212625, 1079.165663, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 3000, 3000, 3000, 1.204417, 44834.967254, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 32, 32, 3000, 1.710164, 336.809714, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 64, 64, 3000, 1.826484, 630.720003, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 128, 128, 3000, 1.559341, 1477.546883, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 156, 156, 3000, 1.548558, 1813.299336, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 4096, 4096, 4096, 0.173869, 790473.450765, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 32, 32, 4096, 1.449887, 740.569108, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 64, 64, 4096, 1.290808, 1663.674363, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 128, 128, 4096, 1.242856, 3455.725070, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 156, 156, 4096, 1.209558, 4327.608295, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 6000, 6000, 6000, 1.086055, 397769.923470, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 32, 32, 6000, 1.748330, 1317.828678, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 64, 64, 6000, 1.762535, 2614.416643, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 128, 128, 6000, 1.588413, 5802.018553, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 156, 156, 6000, 1.549396, 7249.278511, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 32, 32, 8192, 1.123820, 3821.758279, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 64, 64, 8192, 1.274656, 6739.023017, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 128, 128, 8192, 0.582780, 29479.153437, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 156, 156, 8192, 0.638457, 32794.644320, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 10000, 10000, 10000, 1.016370, 1967788.182647, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 32, 32, 10000, 1.725634, 3708.782252, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 64, 64, 10000, 1.747530, 7324.622476, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 128, 128, 10000, 1.568166, 16324.797825, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 156, 156, 10000, 1.562920, 19962.638415, 0.000000, 0.000000e+00
2, 2, 1, 32, 32, 32, 32, 32, 0.012556, 5.219529, 0.000000, 0.000000e+00
2, 2, 1, 32, 32, 64, 64, 32, 0.034373, 3.813278, 0.000000, 0.000000e+00
2, 2, 1, 32, 32, 128, 128, 32, 0.065789, 3.984641, 0.000000, 0.000000e+00
2, 2, 1, 32, 32, 156, 156, 32, 0.102023, 3.131535, 0.000000, 0.000000e+00
2, 2, 1, 32, 64, 64, 64, 64, 0.138519, 3.784942, 0.000000, 0.000000e+00
2, 2, 1, 32, 64, 32, 32, 64, 0.080905, 3.240126, 0.000000, 0.000000e+00
2, 2, 1, 32, 64, 128, 128, 64, 0.247153, 4.242625, 0.000000, 0.000000e+00
2, 2, 1, 32, 64, 156, 156, 64, 0.245318, 5.209376, 0.000000, 0.000000e+00
2, 2, 1, 32, 128, 128, 128, 128, 0.635915, 6.595702, 0.000000, 0.000000e+00
2, 2, 1, 32, 128, 32, 32, 128, 0.242269, 4.328150, 0.000000, 0.000000e+00
2, 2, 1, 32, 128, 64, 64, 128, 0.419786, 4.995759, 0.000000, 0.000000e+00
2, 2, 1, 32, 128, 156, 156, 128, 0.675371, 7.568889, 0.000000, 0.000000e+00
2, 2, 1, 32, 256, 256, 256, 256, 1.518899, 22.091289, 0.000000, 0.000000e+00
2, 2, 1, 32, 256, 32, 32, 256, 0.544357, 7.705064, 0.000000, 0.000000e+00
