num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 10000, 10000, 10000, 10000, 52.801488, 40159.442592, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 8000, 8000, 8000, 48.571271, 22974.440092, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 6000, 6000, 6000, 53.850120, 8495.555235, 0.000000, 0.000000e+00
1, 1, 1, 32, 4000, 4000, 4000, 4000, 48.401233, 2758.547380, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 3000, 3000, 3000, 56.758444, 1004.493352, 0.000000, 0.000000e+00
1, 1, 1, 32, 2000, 2000, 2000, 2000, 32.215768, 496.651203, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 1000, 1000, 1000, 9.945472, 201.096530, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 800, 800, 800, 7.860142, 130.277541, 0.000000, 0.000000e+00
1, 1, 1, 32, 600, 600, 600, 600, 2.931407, 147.369501, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 400, 400, 400, 1.012753, 126.388185, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 250, 250, 250, 0.209911, 148.872756, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 100, 100, 100, 0.016250, 123.076529, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 64, 64, 64, 0.004340, 120.791281, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 32, 32, 32, 0.000660, 99.348142, 0.000000, 0.000000e+00
2, 2, 1, 32, 10000, 10000, 10000, 10000, 46.147208, 43339.567075, 0.000000, 0.000000e+00
2, 2, 1, 32, 8000, 8000, 8000, 8000, 45.136205, 22686.887429, 0.000000, 0.000000e+00
2, 2, 1, 32, 6000, 6000, 6000, 6000, 48.077351, 8985.520076, 0.000000, 0.000000e+00
2, 2, 1, 32, 4000, 4000, 4000, 4000, 50.864773, 2516.476393, 0.000000, 0.000000e+00
2, 2, 1, 32, 3000, 3000, 3000, 3000, 55.290781, 976.654685, 0.000000, 0.000000e+00
2, 2, 1, 32, 2000, 2000, 2000, 2000, 35.016489, 456.927596, 0.000000, 0.000000e+00
2, 2, 1, 32, 1000, 1000, 1000, 1000, 9.571784, 208.947459, 0.000000, 0.000000e+00
2, 2, 1, 32, 800, 800, 800, 800, 4.731181, 216.436443, 0.000000, 0.000000e+00
2, 2, 1, 32, 600, 600, 600, 600, 2.791572, 154.751534, 0.000000, 0.000000e+00
2, 2, 1, 32, 400, 400, 400, 400, 0.879323, 145.566476, 0.000000, 0.000000e+00
2, 2, 1, 32, 250, 250, 250, 250, 0.229114, 136.394950, 0.000000, 0.000000e+00
2, 2, 1, 32, 100, 100, 100, 100, 0.013025, 153.556133, 0.000000, 0.000000e+00
2, 2, 1, 32, 64, 64, 64, 64, 0.002890, 181.426203, 0.000000, 0.000000e+00
2, 2, 1, 32, 32, 32, 32, 32, 0.000491, 133.431829, 0.000000, 0.000000e+00
4, 2, 2, 32, 10000, 10000, 10000, 10000, 48.909246, 40892.063800, 0.000000, 0.000000e+00
4, 2, 2, 32, 8000, 8000, 8000, 8000, 47.337417, 21631.936401, 0.000000, 0.000000e+00
4, 2, 2, 32, 6000, 6000, 6000, 6000, 52.317241, 8257.316172, 0.000000, 0.000000e+00
4, 2, 2, 32, 4000, 4000, 4000, 4000, 47.054524, 2720.248524, 0.000000, 0.000000e+00
4, 2, 2, 32, 3000, 3000, 3000, 3000, 50.929834, 1060.282277, 0.000000, 0.000000e+00
4, 2, 2, 32, 2000, 2000, 2000, 2000, 28.444049, 562.507828, 0.000000, 0.000000e+00
4, 2, 2, 32, 1000, 1000, 1000, 1000, 6.647784, 300.852124, 0.000000, 0.000000e+00
4, 2, 2, 32, 800, 800, 800, 800, 3.483077, 293.992959, 0.000000, 0.000000e+00
4, 2, 2, 32, 600, 600, 600, 600, 1.622510, 266.254145, 0.000000, 0.000000e+00
4, 2, 2, 32, 400, 400, 400, 400, 0.541721, 236.284000, 0.000000, 0.000000e+00
4, 2, 2, 32, 250, 250, 250, 250, 0.124345, 251.316666, 0.000000, 0.000000e+00
4, 2, 2, 32, 100, 100, 100, 100, 0.008955, 223.326451, 0.000000, 0.000000e+00
4, 2, 2, 32, 64, 64, 64, 64, 0.001907, 274.989352, 0.000000, 0.000000e+00
4, 2, 2, 32, 32, 32, 32, 32, 0.000279, 234.810994, 0.000000, 0.000000e+00
6, 3, 2, 32, 10000, 10000, 10000, 10000, 46.347757, 43152.034725, 0.000000, 0.000000e+00
6, 3, 2, 32, 8000, 8000, 8000, 8000, 47.772675, 21434.847447, 0.000000, 0.000000e+00
6, 3, 2, 32, 6000, 6000, 6000, 6000, 46.712393, 9248.081099, 0.000000, 0.000000e+00
6, 3, 2, 32, 4000, 4000, 4000, 4000, 43.194702, 2963.326382, 0.000000, 0.000000e+00
6, 3, 2, 32, 3000, 3000, 3000, 3000, 41.506950, 1300.986957, 0.000000, 0.000000e+00
6, 3, 2, 32, 2000, 2000, 2000, 2000, 21.325720, 750.267757, 0.000000, 0.000000e+00
6, 3, 2, 32, 1000, 1000, 1000, 1000, 4.200208, 476.166900, 0.000000, 0.000000e+00
6, 3, 2, 32, 800, 800, 800, 800, 2.085516, 491.005591, 0.000000, 0.000000e+00
6, 3, 2, 32, 600, 600, 600, 600, 1.022700, 422.411158, 0.000000, 0.000000e+00
6, 3, 2, 32, 400, 400, 400, 400, 0.306559, 417.538060, 0.000000, 0.000000e+00
6, 3, 2, 32, 250, 250, 250, 250, 0.076976, 405.972643, 0.000000, 0.000000e+00
6, 3, 2, 32, 100, 100, 100, 100, 0.004985, 401.175168, 0.000000, 0.000000e+00
6, 3, 2, 32, 64, 64, 64, 64, 0.001298, 403.855752, 0.000000, 0.000000e+00
6, 3, 2, 32, 32, 32, 32, 32, 0.000167, 393.086787, 0.000000, 0.000000e+00
8, 4, 2, 32, 10000, 10000, 10000, 10000, 48.147348, 41539.151738, 0.000000, 0.000000e+00
8, 4, 2, 32, 8000, 8000, 8000, 8000, 47.333290, 21633.822779, 0.000000, 0.000000e+00
8, 4, 2, 32, 6000, 6000, 6000, 6000, 50.190879, 8607.141542, 0.000000, 0.000000e+00
8, 4, 2, 32, 4000, 4000, 4000, 4000, 41.052827, 3117.933863, 0.000000, 0.000000e+00
8, 4, 2, 32, 3000, 3000, 3000, 3000, 37.013925, 1458.910409, 0.000000, 0.000000e+00
8, 4, 2, 32, 2000, 2000, 2000, 2000, 19.544309, 818.652635, 0.000000, 0.000000e+00
8, 4, 2, 32, 1000, 1000, 1000, 1000, 3.264765, 612.601544, 0.000000, 0.000000e+00
8, 4, 2, 32, 800, 800, 800, 800, 1.620215, 632.014840, 0.000000, 0.000000e+00
8, 4, 2, 32, 600, 600, 600, 600, 0.794656, 543.631410, 0.000000, 0.000000e+00
8, 4, 2, 32, 400, 400, 400, 400, 0.216468, 591.310670, 0.000000, 0.000000e+00
8, 4, 2, 32, 250, 250, 250, 250, 0.052694, 593.045475, 0.000000, 0.000000e+00
8, 4, 2, 32, 100, 100, 100, 100, 0.003680, 543.453665, 0.000000, 0.000000e+00
8, 4, 2, 32, 64, 64, 64, 64, 0.000919, 570.774294, 0.000000, 0.000000e+00
8, 4, 2, 32, 32, 32, 32, 32, 0.000122, 535.778841, 0.000000, 0.000000e+00
12, 4, 3, 32, 10000, 10000, 10000, 10000, 49.804745, 40156.816054, 0.000000, 0.000000e+00
12, 4, 3, 32, 8000, 8000, 8000, 8000, 48.237669, 21228.223215, 0.000000, 0.000000e+00
12, 4, 3, 32, 6000, 6000, 6000, 6000, 53.211877, 8118.488329, 0.000000, 0.000000e+00
12, 4, 3, 32, 4000, 4000, 4000, 4000, 36.658103, 3491.724597, 0.000000, 0.000000e+00
12, 4, 3, 32, 3000, 3000, 3000, 3000, 29.975298, 1801.483334, 0.000000, 0.000000e+00
12, 4, 3, 32, 2000, 2000, 2000, 2000, 13.684375, 1169.216732, 0.000000, 0.000000e+00
12, 4, 3, 32, 1000, 1000, 1000, 1000, 2.009867, 995.090935, 0.000000, 0.000000e+00
12, 4, 3, 32, 800, 800, 800, 800, 1.176954, 870.042508, 0.000000, 0.000000e+00
12, 4, 3, 32, 600, 600, 600, 600, 0.523818, 824.713537, 0.000000, 0.000000e+00
12, 4, 3, 32, 400, 400, 400, 400, 0.150880, 848.353912, 0.000000, 0.000000e+00
12, 4, 3, 32, 250, 250, 250, 250, 0.036927, 846.262269, 0.000000, 0.000000e+00
12, 4, 3, 32, 100, 100, 100, 100, 0.002354, 849.530033, 0.000000, 0.000000e+00
12, 4, 3, 32, 64, 64, 64, 64, 0.000601, 871.834182, 0.000000, 0.000000e+00
12, 4, 3, 32, 32, 32, 32, 32, 0.000076, 857.066069, 0.000000, 0.000000e+00



16, 4, 4, 32, 10000, 10000, 10000, 10000, 51.446953, 38874.994503, 0.000000, 0.000000e+00
16, 4, 4, 32, 8000, 8000, 8000, 8000, 47.922680, 21367.753418, 0.000000, 0.000000e+00
16, 4, 4, 32, 6000, 6000, 6000, 6000, 53.577900, 8063.025947, 0.000000, 0.000000e+00
16, 4, 4, 32, 4000, 4000, 4000, 4000, 32.351287, 3956.565941, 0.000000, 0.000000e+00
16, 4, 4, 32, 3000, 3000, 3000, 3000, 25.802358, 2092.831968, 0.000000, 0.000000e+00
16, 4, 4, 32, 2000, 2000, 2000, 2000, 10.318476, 1550.616573, 0.000000, 0.000000e+00
16, 4, 4, 32, 1000, 1000, 1000, 1000, 1.598406, 1251.246282, 0.000000, 0.000000e+00
16, 4, 4, 32, 800, 800, 800, 800, 0.817163, 1253.116318, 0.000000, 0.000000e+00
16, 4, 4, 32, 600, 600, 600, 600, 0.369943, 1167.747053, 0.000000, 0.000000e+00
16, 4, 4, 32, 400, 400, 400, 400, 0.105073, 1218.196042, 0.000000, 0.000000e+00
16, 4, 4, 32, 250, 250, 250, 250, 0.026601, 1174.749205, 0.000000, 0.000000e+00
16, 4, 4, 32, 100, 100, 100, 100, 0.001724, 1160.252599, 0.000000, 0.000000e+00
16, 4, 4, 32, 64, 64, 64, 64, 0.000459, 1141.632216, 0.000000, 0.000000e+00
16, 4, 4, 32, 32, 32, 32, 32, 0.000055, 1189.458118, 0.000000, 0.000000e+00
20, 5, 4, 32, 10000, 10000, 10000, 10000, 52.110528, 38379.960722, 0.000000, 0.000000e+00
20, 5, 4, 32, 8000, 8000, 8000, 8000, 47.209011, 21690.774070, 0.000000, 0.000000e+00
20, 5, 4, 32, 6000, 6000, 6000, 6000, 50.614897, 8535.036572, 0.000000, 0.000000e+00
20, 5, 4, 32, 4000, 4000, 4000, 4000, 28.969867, 4418.384056, 0.000000, 0.000000e+00
20, 5, 4, 32, 3000, 3000, 3000, 3000, 22.948694, 2353.075123, 0.000000, 0.000000e+00
20, 5, 4, 32, 2000, 2000, 2000, 2000, 8.540937, 1873.330725, 0.000000, 0.000000e+00
20, 5, 4, 32, 1000, 1000, 1000, 1000, 1.371081, 1458.703550, 0.000000, 0.000000e+00
20, 5, 4, 32, 800, 800, 800, 800, 0.696550, 1470.102737, 0.000000, 0.000000e+00
20, 5, 4, 32, 600, 600, 600, 600, 0.293560, 1471.588599, 0.000000, 0.000000e+00
20, 5, 4, 32, 400, 400, 400, 400, 0.084517, 1514.482287, 0.000000, 0.000000e+00
20, 5, 4, 32, 250, 250, 250, 250, 0.020591, 1517.664643, 0.000000, 0.000000e+00
20, 5, 4, 32, 100, 100, 100, 100, 0.001350, 1481.955749, 0.000000, 0.000000e+00
20, 5, 4, 32, 64, 64, 64, 64, 0.000342, 1531.549151, 0.000000, 0.000000e+00
20, 5, 4, 32, 32, 32, 32, 32, 0.000048, 1371.234816, 0.000000, 0.000000e+00









