num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 32, 32, 32, 32, 0.063346, 1.034574, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 64, 64, 32, 0.251321, 0.521533, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 128, 128, 32, 0.382625, 0.685120, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 156, 156, 32, 0.415112, 0.769643, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 64, 64, 64, 0.603742, 0.868398, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 32, 32, 64, 0.388747, 0.674331, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 128, 128, 64, 0.868995, 1.206653, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 156, 156, 64, 0.912593, 1.400353, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 128, 128, 128, 1.304677, 3.214822, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 32, 32, 128, 0.803376, 1.305212, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 64, 64, 128, 1.208558, 1.735252, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 156, 156, 128, 1.321302, 3.868766, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 256, 256, 256, 1.510222, 22.218210, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 32, 32, 256, 1.148613, 3.651625, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 64, 64, 256, 1.259813, 6.658613, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 128, 128, 256, 1.419735, 11.817150, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 156, 156, 256, 1.496299, 13.665209, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 400, 400, 400, 1.566200, 81.726453, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 32, 32, 400, 1.464292, 6.993139, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 64, 64, 400, 1.705243, 12.010021, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 128, 128, 400, 1.590501, 25.752891, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 156, 156, 400, 1.575863, 31.677875, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 512, 512, 512, 1.071941, 250.419887, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 32, 32, 512, 1.452252, 11.552554, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 64, 64, 512, 1.540044, 21.787968, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 128, 128, 512, 1.495361, 44.878049, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 156, 156, 512, 1.465687, 55.802457, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 800, 800, 800, 1.425601, 718.293554, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 32, 32, 800, 1.560668, 26.245176, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 64, 64, 800, 1.788368, 45.807126, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 128, 128, 800, 1.620936, 101.077390, 0.000000, 0.000000e+00
1, 1, 1, 32, 800, 156, 156, 800, 1.611949, 123.874855, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 1024, 1024, 1024, 0.580879, 3696.957078, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 32, 32, 1024, 1.206018, 55.645002, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 64, 64, 1024, 1.207051, 111.194734, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 128, 128, 1024, 1.236838, 217.033675, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 156, 156, 1024, 1.251063, 261.502285, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 2048, 2048, 2048, 0.424617, 40459.695679, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 32, 32, 2048, 1.235147, 217.330805, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 64, 64, 2048, 1.218213, 440.703690, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 128, 128, 2048, 1.218558, 881.157652, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 156, 156, 2048, 1.141946, 1145.958991, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 3000, 3000, 3000, 1.184660, 45582.710511, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 32, 32, 3000, 1.709870, 336.867700, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 64, 64, 3000, 1.805964, 637.886335, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 128, 128, 3000, 1.564299, 1472.864397, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 156, 156, 3000, 1.550811, 1810.666056, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 4096, 4096, 4096, 0.174555, 787367.671622, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 32, 32, 4096, 1.451658, 739.666077, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 64, 64, 4096, 1.321619, 1624.888082, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 128, 128, 4096, 1.244798, 3450.331496, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 156, 156, 4096, 1.195541, 4378.344302, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 6000, 6000, 6000, 1.101901, 392049.867288, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 32, 32, 6000, 1.749803, 1316.720002, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 64, 64, 6000, 1.769249, 2604.494417, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 128, 128, 6000, 1.584495, 5816.364209, 0.000000, 0.000000e+00
1, 1, 1, 32, 6000, 156, 156, 6000, 1.554144, 7227.131159, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 32, 32, 8192, 1.369361, 3136.475522, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 64, 64, 8192, 1.292308, 6646.971113, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 128, 128, 8192, 0.774926, 22169.690179, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 156, 156, 8192, 0.834943, 25077.114536, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 10000, 10000, 10000, 1.030689, 1940449.652713, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 32, 32, 10000, 1.729088, 3701.373728, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 64, 64, 10000, 1.747446, 7324.976049, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 128, 128, 10000, 1.567294, 16333.880819, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 156, 156, 10000, 1.565274, 19932.617905, 0.000000, 0.000000e+00
2, 2, 1, 32, 32, 32, 32, 32, 0.007636, 8.582566, 0.000000, 0.000000e+00
2, 2, 1, 32, 32, 64, 64, 32, 0.041235, 3.178631, 0.000000, 0.000000e+00
