num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 50, 50, 50, 50, 0.420579, 0.594419, 0.000000, 0.000000e+00
1, 1, 1, 32, 50, 32, 32, 50, 0.296974, 0.538768, 0.000000, 0.000000e+00
1, 1, 1, 32, 50, 64, 64, 50, 0.437435, 0.731538, 0.000000, 0.000000e+00
1, 1, 1, 32, 50, 128, 128, 50, 0.726938, 0.880405, 0.000000, 0.000000e+00
1, 1, 1, 32, 50, 156, 156, 50, 0.699061, 1.115783, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 100, 100, 100, 1.194604, 1.674195, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 32, 32, 100, 0.778842, 0.821733, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 64, 64, 100, 0.927133, 1.380600, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 128, 128, 100, 1.212556, 2.111243, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 156, 156, 100, 1.104141, 2.825726, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 500, 500, 500, 1.508986, 165.674151, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 32, 32, 500, 1.515885, 10.554888, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 64, 64, 500, 1.742565, 18.363732, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 128, 128, 500, 1.635759, 39.125562, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 156, 156, 500, 1.591750, 49.002669, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 1000, 1000, 1000, 1.514726, 1320.371186, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 32, 32, 1000, 1.620876, 39.484827, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 64, 64, 1000, 1.829151, 69.977826, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 128, 128, 1000, 1.631666, 156.894818, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 156, 156, 1000, 1.633507, 191.000123, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 3000, 3000, 3000, 1.174688, 45969.664084, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 32, 32, 3000, 1.699991, 338.825409, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 64, 64, 3000, 1.781631, 646.598550, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 128, 128, 3000, 1.563873, 1473.265714, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 156, 156, 3000, 1.538182, 1825.531213, 0.000000, 0.000000e+00
1, 1, 1, 32, 5000, 5000, 5000, 5000, 1.137196, 219838.924287, 0.000000, 0.000000e+00
1, 1, 1, 32, 5000, 32, 32, 5000, 1.712087, 934.532086, 0.000000, 0.000000e+00
1, 1, 1, 32, 5000, 64, 64, 5000, 1.738385, 1840.789510, 0.000000, 0.000000e+00
1, 1, 1, 32, 5000, 128, 128, 5000, 1.544773, 4143.002365, 0.000000, 0.000000e+00
1, 1, 1, 32, 5000, 156, 156, 5000, 1.543614, 5053.078347, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 8000, 8000, 8000, 0.440083, 2326832.998738, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 32, 32, 8000, 1.740395, 2353.488195, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 64, 64, 8000, 1.664776, 4920.781662, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 128, 128, 8000, 1.473761, 11117.135701, 0.000000, 0.000000e+00
1, 1, 1, 32, 8000, 156, 156, 8000, 1.455051, 13723.233983, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 10000, 10000, 10000, 1.005359, 1989339.108122, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 32, 32, 10000, 1.725395, 3709.295428, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 64, 64, 10000, 1.738498, 7362.678596, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 128, 128, 10000, 1.588102, 16119.870264, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 156, 156, 10000, 1.546569, 20173.682858, 0.000000, 0.000000e+00
2, 2, 1, 32, 50, 50, 50, 50, 0.059519, 4.200329, 0.000000, 0.000000e+00
2, 2, 1, 32, 50, 32, 32, 50, 0.035808, 4.468331, 0.000000, 0.000000e+00
2, 2, 1, 32, 50, 64, 64, 50, 0.076593, 4.177916, 0.000000, 0.000000e+00
2, 2, 1, 32, 50, 128, 128, 50, 0.150024, 4.265982, 0.000000, 0.000000e+00
2, 2, 1, 32, 50, 156, 156, 50, 0.155751, 5.008001, 0.000000, 0.000000e+00
2, 2, 1, 32, 100, 100, 100, 100, 0.333009, 6.005851, 0.000000, 0.000000e+00
2, 2, 1, 32, 100, 32, 32, 100, 0.131286, 4.874863, 0.000000, 0.000000e+00
