num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 50, 50, 50, 50, 0.207986, 1.202003, 0.000000, 0.000000e+00
1, 1, 1, 32, 50, 32, 32, 50, 0.309415, 0.517105, 0.000000, 0.000000e+00
1, 1, 1, 32, 50, 64, 64, 50, 0.578075, 0.553561, 0.000000, 0.000000e+00
1, 1, 1, 32, 50, 128, 128, 50, 0.661458, 0.967560, 0.000000, 0.000000e+00
1, 1, 1, 32, 50, 156, 156, 50, 0.702559, 1.110227, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 100, 100, 100, 0.634740, 3.150895, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 32, 32, 100, 0.570087, 1.122635, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 64, 64, 100, 0.938933, 1.363250, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 128, 128, 100, 1.052032, 2.433386, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 156, 156, 100, 0.944453, 3.303500, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 500, 500, 500, 1.498781, 166.802225, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 32, 32, 500, 1.509357, 10.600538, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 64, 64, 500, 1.552614, 20.610406, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 128, 128, 500, 1.528145, 41.880856, 0.000000, 0.000000e+00
1, 1, 1, 32, 500, 156, 156, 500, 1.517220, 51.409817, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 1000, 1000, 1000, 1.511877, 1322.859033, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 32, 32, 1000, 1.637663, 39.080083, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 64, 64, 1000, 1.846163, 69.333000, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 128, 128, 1000, 1.650684, 155.087253, 0.000000, 0.000000e+00
1, 1, 1, 32, 1000, 156, 156, 1000, 1.616367, 193.025450, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 3000, 3000, 3000, 1.175164, 45951.046189, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 32, 32, 3000, 1.703496, 338.128213, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 64, 64, 3000, 1.804488, 638.408398, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 128, 128, 3000, 1.552556, 1484.004626, 0.000000, 0.000000e+00
1, 1, 1, 32, 3000, 156, 156, 3000, 1.549250, 1812.490173, 0.000000, 0.000000e+00
1, 1, 1, 32, 5000, 5000, 5000, 5000, 1.137549, 219770.658458, 0.000000, 0.000000e+00
1, 1, 1, 32, 5000, 32, 32, 5000, 1.721380, 929.486731, 0.000000, 0.000000e+00
1, 1, 1, 32, 5000, 64, 64, 5000, 1.730680, 1848.984148, 0.000000, 0.000000e+00
