num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 32, 32, 32, 32, 0.078416, 0.835751, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 64, 64, 32, 0.164650, 0.796066, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 128, 128, 32, 0.285136, 0.919366, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 156, 156, 32, 0.344023, 0.928681, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 64, 64, 64, 0.492752, 1.064000, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 32, 32, 64, 0.320687, 0.817446, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 128, 128, 64, 0.950831, 1.102799, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 156, 156, 64, 0.997291, 1.281424, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 128, 128, 128, 1.344917, 3.118634, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 32, 32, 128, 0.756555, 1.385987, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 64, 64, 128, 1.307046, 1.604497, 0.000000, 0.000000e+00
1, 1, 1, 32, 128, 156, 156, 128, 1.280113, 3.993246, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 256, 256, 256, 1.415451, 23.705830, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 32, 32, 256, 1.055714, 3.972954, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 64, 64, 256, 1.456483, 5.759497, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 128, 128, 256, 1.417862, 11.832755, 0.000000, 0.000000e+00
1, 1, 1, 32, 256, 156, 156, 256, 1.434257, 14.256325, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 512, 512, 512, 1.048911, 255.918141, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 32, 32, 512, 1.378039, 12.174705, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 64, 64, 512, 1.486098, 22.578889, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 128, 128, 512, 1.443497, 46.490466, 0.000000, 0.000000e+00
1, 1, 1, 32, 512, 156, 156, 512, 1.440590, 56.774590, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 1024, 1024, 1024, 0.575786, 3729.658322, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 32, 32, 1024, 1.199600, 55.942682, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 64, 64, 1024, 1.182220, 113.530237, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 128, 128, 1024, 1.219055, 220.199571, 0.000000, 0.000000e+00
1, 1, 1, 32, 1024, 156, 156, 1024, 1.225503, 266.956213, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 2048, 2048, 2048, 0.405082, 42410.792172, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 32, 32, 2048, 1.224482, 219.223629, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 64, 64, 2048, 1.190505, 450.960509, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 128, 128, 2048, 1.215745, 883.196913, 0.000000, 0.000000e+00
1, 1, 1, 32, 2048, 156, 156, 2048, 1.118419, 1170.065258, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 4096, 4096, 4096, 0.171006, 803707.936781, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 32, 32, 4096, 1.443881, 743.649664, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 64, 64, 4096, 1.305934, 1644.404957, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 128, 128, 4096, 1.243875, 3452.892148, 0.000000, 0.000000e+00
1, 1, 1, 32, 4096, 156, 156, 4096, 0.642075, 8152.466951, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 8192, 8192, 8192, 0.129213, 8509313.557366, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 32, 32, 8192, 1.389215, 3091.650115, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 64, 64, 8192, 1.274259, 6741.121186, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 128, 128, 8192, 0.773842, 22200.748730, 0.000000, 0.000000e+00
1, 1, 1, 32, 8192, 156, 156, 8192, 0.835242, 25068.134049, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 10000, 10000, 10000, 1.010008, 1980183.229085, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 32, 32, 10000, 1.716743, 3727.990084, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 64, 64, 10000, 1.635008, 7828.708485, 0.000000, 0.000000e+00
1, 1, 1, 32, 10000, 128, 128, 10000, 1.582839, 16173.471705, 0.000000, 0.000000e+00
