num_proc, num_proc_row, num_proc_col, block_size, mat_A_rows, mat_A_cols, mat_B_rows, mat_B_cols, gflops, elapsed_time, max_diff, max_rel_diff
1, 1, 1, 32, 32, 32, 32, 32, 0.000644, 101.696113, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 64, 64, 32, 0.001142, 114.787243, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 128, 128, 32, 0.002875, 91.189910, 0.000000, 0.000000e+00
1, 1, 1, 32, 32, 156, 156, 32, 0.003527, 90.588007, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 64, 64, 64, 0.005530, 94.812988, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 32, 32, 64, 0.002788, 94.030401, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 128, 128, 64, 0.010896, 96.235839, 0.000000, 0.000000e+00
1, 1, 1, 32, 64, 156, 156, 64, 0.013823, 92.451835, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 100, 100, 100, 0.016273, 122.905766, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 32, 32, 100, 0.006560, 97.561481, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 64, 64, 100, 0.012181, 105.078609, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 128, 128, 100, 0.028143, 90.963149, 0.000000, 0.000000e+00
1, 1, 1, 32, 100, 156, 156, 100, 0.033699, 92.584846, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 250, 250, 250, 0.279329, 111.875336, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 32, 32, 250, 0.042946, 93.140008, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 64, 64, 250, 0.079958, 100.052549, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 128, 128, 250, 0.172258, 92.884100, 0.000000, 0.000000e+00
1, 1, 1, 32, 250, 156, 156, 250, 0.157865, 123.523074, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 400, 400, 400, 1.322260, 96.803976, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 32, 32, 400, 0.088097, 116.234998, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 64, 64, 400, 0.170719, 119.963464, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 128, 128, 400, 0.320293, 127.882777, 0.000000, 0.000000e+00
1, 1, 1, 32, 400, 156, 156, 400, 0.492736, 101.311802, 0.000000, 0.000000e+00
1, 1, 1, 32, 600, 600, 600, 600, 3.223494, 134.016068, 0.000000, 0.000000e+00
